" If you run the site in developer mode, full email information is logged in var/log/giftcert.log"," Wenn die Seite im Developer Modus läuft, dann werden alle Informationen in var/log/giftcert.log mitgeloggt"
"%d emails could not be sent.","%d Emails konnten nicht versendet weden."
"* Magento Bundled Fonts","* Magento Bundled Fonts"
"* Please select","* Bitte auswählen"
"<strong>If this is checked all changes made to PDF settings will be ignored.</strong>","<strong>Wenn dieser Punkt ausgewählt ist, werden hier geänderten PDF Einstellungen ignoriert.</strong>"
"Accepts random patters same as Certificate Number","Akzeptiert zufällige Vorlagen so wie die Gutschein-Nummer"
"Active","Aktiv"
"Add certificate info to order details","Füge Gutscheininformation zu Bestellung hinzu"
"Add New Gift Certificate","Neuen Gutschein hinzufügen"
"Add Row","Neue Zeile"
"Add Unique Message (optional):","Eine Nachricht hinzufügen (Optional):"
"Admin Created","Erstellt durch Admin"
"Administrative Configuration","Administrative Konfiguration"
"All Files","Alle Dateien"
"Allow custom message","Erlaube Kunden-Nachricht"
"Allow only one certificate per order (Single mode)","Erlaube nur ein Gutschein pro Bestellung (Single mode)"
"Allow recipient's address","Erlaube Empfänger Adresse"
"Allow recipient's email","Erlaube Empfänger Email"
"Always handle GC as virtual products","Gutschein als virtuelles Produkt behandeln"
"Amount is not within the specified range.","Der Betrag ist nicht innerhalb des gültigen Bereichs."
"Amount values configuration","Beträge konfigurieren"
"Amount","Betrag"
"An error occurred while importing:","Ein Fehler ist beim Import aufgetreten:"
"An error occurred while saving this configuration:","Ein Fehler ist beim Speichern der Konfiguration aufgetreten:"
"Apply certificate only if the following conditions are met (leave blank for all products)","Füge nur den Gutschein hinzu, wenn die folgenden Regeln zutreffen (leer lassen für alle Produkte)"
"Are you sure?","Sind Sie sicher?"
"Auto generate certificate number","Gutschein-Nr. automatisch generieren"
"Auto generate PIN","PIN automatisch generieren"
"Balance","Guthaben"
"Balance: ","Guthaben: "
"Bold","Fett"
"By email only","Nur per Mail"
"Can not create multiple Gift Certificates with the same code.","Es können keine mehrfachen Gutscheine mit dem gleichem Code erzeugt werden."
"Card Number","Karten-Nummer"
"Certificate balance","Gutschein Gutahaben"
"Certificate code column not found in file","Gutschein Code Feld wurde nicht in der Datei gefunden"
"Certificate Code","Gutschein-Code"
"Certificate ID","Gutschein-ID"
"Certificate number pattern","Gutschein-Nr. Muster"
"Certificate number(s)","Gutschein Nummer(n)"
"Change status to active on payment completion","Ändere Status um die Bezahlung zu vervollständigen"
"Change status","Status ändern"
"Characters Remaining:","Verbleibende Zeichen:"
"Check Balance","Guthaben überprüfen"
"Check Your Gift Card Balance","Gutschein-Guthaben überprüfen"
"code: ","code: "
"Color","Farbe"
"Comments","Kommentare"
"Conditions","Regeln"
"Courier","Courier"
"Create gift certificate","Gutschein erstellen"
"Create gift certificates","Gutscheine erstellen"
"Create","Erstellen"
"Created At","Erstellt am"
"CSV and Tab Separated files (.csv, .txt)","CSV und kommagetrennte Dateien (.csv, .txt)"
"CSV field delimiter","CSV Feld Trenner"
"CSV field enclosure","CSV Texterkennungszeichen"
"CSV file name","CSV Dateiname"
"CSV","CSV"
"Currency code","Währungscode"
"Currency","Währung"
"Custom message max length","Max. Länge der Kunden-Nachricht"
"Custom message","Nachricht"
"Customer Created","Erstellt durch Kunde"
"Customer Email","Kunden Email"
"Default Expiration Timespan (in days)","Standard-Verfallsdatum (in Tagen)"
"Default status","Standard Status"
"Defaults","Allgemeine Optionen"
"Delete entry","Eintrag löschen"
"Delete Gift Certificate","Gutschein löschen"
"Delete gift certificates","Gutscheine löschen"
"Delete","Löschen"
"Delimiter","Trenner"
"Directly to someone else","Direkt an jemand anderen"
"Display full totals info in cart","Zeige die Gesamtsumme im Warenkorb an"
"Domains included in your license","Domains die Ihre Lizenz beinhalten"
"Duplicate Gift Certificate Code was found.","Doppelter Gutschein-Code gefunden."
"Edit Gift Certificate","Gutschein ändern"
"Email delivery options","Email Versand Optionen"
"Email sending failed. If you run the site in developer mode, full email information is logged in var/log/giftcert.log","Email Versand fehlgeschlagen. Wenn die Seite im Developer mode läuft, werden alle Email Informationen im var/log/giftcert.log gespeichert"
"Email sending failed.","Email Versand fehlgeschlagen."
"Email","Email"
"Enable custom message preview","Vorschau Kunden-Nachricht aktivieren"
"Enable email notifications","Email Benachrichtigung aktivieren"
"Enable PDF printouts","PDF aktivieren"
"Enclosure","Kapselung"
"Enter a known certificate code or a pattern to autogenerate. Pattern examples:<br/><strong>[A*8] - 8 alpha chars<br/>[N*4] - 4 numerics<br/>[AN*5] - 5 alphanumeric<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>","Einen bekannten Gutscheincode oder eine Vorlage für die automatische Generierung eingeben. Beispiel:<br/><strong>[A*8] - 8 alpha<br/>[N*4] - 4 numerische<br/>[AN*5] - 5 alphanumerische<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>"
"Enter Amount","Betrag angeben"
"Enter name of file to be used for import. File should be placed in \"/var/ugiftcert/\".<br/>You can use file uploader bellow to upload your files, or you can upload via FTP.","Dateiname für den Import eingeben. Datei sollte in \"/var/ugiftcert/\" abgelegt werden.<br/>Sie können den Dateiupload unten verwenden oder mit FTP hochladen."
"Enter one character to be used as field delimiter when parsing imported CSV file.","Wähle ein Zeichen als Feldtrenner bei der Importierung der CSV Datei aus."
"Enter one character to be used as field enclosure when parsing imported CSV file.","Wähle ein Zeichen für die Texterkennung bei der Importierung der CSV Datei aus."
"Error message in single mode","Fehlermeldung im Single Modus"
"Exclude these totals","Diese Summenpositionen ausschliessen"
"Expire On","Läuft ab am"
"Expires at","Läuft ab am"
"Expires On","Läuft ab am"
"Fetch","Abruf"
"Field","Feld"
"File %s could not be read","Datei %s konnte nicht gelesen werden"
"File","Datei"
"Font size","Schriftgröße"
"Font to use in PDF","Schriftart"
"Font variant","Schriftart"
"For any update please enter your comments and reasons here","Bei Änderungen bitte hier Kommentar bzw. Gründe eintragen"
"Free text field","Freies Textfeld"
"Get gift certificate data","Gutscheindaten erhalten"
"Get printout","PDF erzeugen"
"Gift certificate %s notification email was successfully sent","Die Benachrichtiguns-Email für Gutschein %s wurde erfolgreich versendet"
"Gift certificate %s was successfully saved","Gutschein %s wurde erfolgreich gespeichert"
"Gift certificate '%s' cannot be used with your cart items","Gutschein '%s' kann nicht mit den Produkten im Warenkorb verwendet werden"
"Gift certificate '%s' could not be applied to your order.","Gutschein '%s' konnte nicht der Bestellung hinzugefügt werden."
"Gift certificate '%s' was applied to your order.","Gutschein '%s' wurde der Bestellung hinzugefügt."
"Gift certificate amount","Gutschein Betrag"
"Gift Certificate Conditions","Gutschein Regeln"
"Gift certificate customer interface on catalog product view","Gutschein Kunden Interface auf der Produktansicht"
"Gift certificate customer interface on catalog product view","Gutschein Optionen in der Produkt-Ansicht"
"Gift Certificate Email Sender","Email-Absender des Gutscheins"
"Gift Certificate Email Template for Purchaser","Gutschein Email-Vorlage für den Käufer"
"Gift Certificate Email Template for Someone Else","Gutschein Email-Vorlage für jemand anderen"
"Gift certificate import settings.","Gutschein Import-Einstellungen"
"Gift Certificate Import","Gutschein Import"
"Gift Certificate Info","Gutschein Informationen"
"Gift Certificate Information","Gutschein Informationen"
"Gift Certificate PDF Settings","Gutschein PDF Einstellung"
"Gift certificate totals","Gutschein Gesamsume"
"Gift certificate was successfully deleted","Gutschein wurde erfolgreich gelöscht"
"Gift certificate was successfully saved","Gutschein wurde erfolgreich gespeichert"
"Gift Certificate","Gutschein"
"Gift certificate(s): %s","Gutschein(e): %s"
"Gift Certificates (%s)","Gutscheine (%s)"
"Gift Certificates API","Gutschein-API"
"Gift certificates applied to this order have changed.\n","Gutschein, die zu dieser Bestellung hinzugefügt wurde, hat Änderungen.\n"
"Gift Certificates Credited","Gutschein gutgeschrieben"
"Gift Certificates Invoiced","Gutschein bezahlt"
"Gift certificates were successfully saved","Gutscheine wurden erfolgreich gespeichert"
"Gift Certificates","Gutscheine"
"Grand Total (Excl.Tax)","Gesamtsumme (Exkl.Mwst)"
"Grand Total (Incl.Tax)","Grand Total (Inkl.Mwst)"
"Height","Höhe"
"Helvetica","Helvetica"
"I want to order printed gift certificate(s)","Ich möchte gerne gedruckte Gutschein(e) bestellen"
"If empty, only one certificate will be created","Wenn leer wird nur ein Gutschein erzeugt"
"If sent to self:","Wenn an sich selbst:"
"If using strftime() format, you are allowed to use only <a href=\"http://php.net/strftime\">strftime()</a> compatible format.","Wenn strftime() Format verwendet wird, können Sie nur <a href=\"http://php.net/strftime\">strftime()</a> kompatible Format verwenden."
"Image Settings","Bild Einstellungen"
"Image","Bild"
"Images Settings","Bild Einstellungen"
"Import Gift Certificates","Gutschein Import"
"Import","Import"
"In current release you can not send emails for certificates that were generated in admin (%d selected)","In der aktuellen Version können Sie keine Gutschein-Email versenden, die vom Admin generiert wurden (%d ausgewählt)"
"Inactive","Deaktiviert"
"Inches","Inches"
"Initial amount","Start Guthaben"
"Invalid certificate identifier.","Ungültiger Gutscheincode."
"Italic","Italic"
"Leave empty for unlimited","Leer lassen für unbegrenzt"
"Main PDF Settings","PDF Haupteinstellungen"
"Manage Gift Certificates","Gutscheine verwalten"
"Millimeters","Millimeter"
"Missing order item. Email not sent. Or item not instance of Mage_Sales_Model_Order_Item class.","Fehlende bestellte Artikel. Email nicht versendet. Oder Artikel ist eine Instanz von der Mage_Sales_Model_Order_Item Klasse."
"Name","Name"
"Never","Nie"
"New certificates","Neue Gutscheine"
"New Gift Certificate to Self","Neuer Gutschein am mich selbst"
"New Gift Certificate to Someone Else","Neuer Gutschein an jemand andern"
"New Gift Certificate","Neuer Gutschein"
"New order status","Neuer Bestellstatus"
"No message","Keine Nachricht"
"On order completion","Bei vollständiger Bestellung"
"On payment completion","Bei vollständiger Bezahlung"
"Order ID","Bestellung ID"
"Order","Bestellung"
"Page Height","Seiten Höhe"
"Page Settings","Seiten Einstellungen"
"Page Width","Seiten Breite"
"Pattern examples:<br/><strong>50 - 1500</strong> : a range between $50 and $1500<br/><strong>25; 50; 100</strong> : a dropdown with values of $25, $50, $100<br/><strong>50</strong> : a static value of $50<br/><strong>-</strong> : enter "dash" to allow any amount value<br/>For multi-currency setups enter configuration for each currency on new line, like this:<br/><strong>EUR: 25; 50; 100<br/>CAD, USD: 50; 100; 200<br/>*: 100; 200; 500</strong><br/>Whitespaces are optional and will be ignored.","Pattern examples:<br/><strong>50 - 1500</strong> : a range between $50 and $1500<br/><strong>25; 50; 100</strong> : a dropdown with values of $25, $50, $100<br/><strong>50</strong> : a static value of $50<br/><strong>-</strong> : enter "dash" to allow any amount value<br/>For multi-currency setups enter configuration for each currency on new line, like this:<br/><strong>EUR: 25; 50; 100<br/>CAD, USD: 50; 100; 200<br/>*: 100; 200; 500</strong><br/>Whitespaces are optional and will be ignored."
"Pattern examples:<br/><strong>[A*8] - 8 alpha chars<br/>[N*4] - 4 numerics<br/>[AN*5] - 5 alphanumeric<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>,Beispiel Muster:<br/><strong>[A*8] - 8 Zeichen<br/>[N*4] - 4 Numerisch<br/>[AN*5] - 5 Alpha-Numerisch<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>"
"PDF certificate settings","PDF Gutschein Einstellungen"
"PDF Printout Settings","PDF Einstellungen"
"PDF Settings","PDF Einstellungen"
"Pending","Ausstehend"
"Physical delivery options","Physische Lieferoptionen"
"PIN format for email confirmations","PIN Format dür Email-Bestätigungen"
"PIN number","PIN Nummer"
"PIN pattern","PIN Format"
"Pin","Pin"
"PIN: ","PIN: "
"Please enter a valid card number and PIN.","Bitte geben Sie eine gültige Karten-Nummer und den PIN an."
"Please enter a valid card number.","Bitte geben Sie eine gültige Karten-Nummer an."
"Please enter gift certificate information","Bitte geben Sie Gutschein Information an."
"Please enter recipient's email or postal address","Bitte geben die E-Mail oder Post-Adresse des Empfängers an"
"Please note, that in current release shipping estimates will be calculated by purchaser's shipping address and not recipient's.","Hinweis, im aktuellen Release werden die Lieferkosten auf Basis der Käufer-Adresse kalkuliert und nicht der Empfänger-Adresse."
"Please select gift certificates(s)","Bitte Gutschein(e) auswählen"
"Please select","Bitte auswählen"
"Points","Punkte"
"Postal Address","Post-Adresse"
"Prepare your images beforehand. Too much resizing in PDF will result in distorted images.<br/>Images functionality requires that PHP runs with <strong>GD</strong> library enabled. If you have troubles with image not displaying check for GD first.<br/>Accepted formats JPG, PNG, TIFF","Bitte bearbeiten Sie Ihre Bilder vorher. Zu große Größenveränderungen im PDF verursachen verzerrte Bilder. Die Bildbearbeitung benötigt die PHP <strong>GD</strong> Bibliothek. Wenn Sie Probleme mit nicht sichtbaren Bilder haben, sollte Sie als erste GD überprüfen.<br/>Akzeptierte Formate JPG, PNG, TIFF"
"Preview","Vorschau"
"Printout object is not instantiated correctly. Must pass gift certificate data to constructor call.","Printout Objekt wurde nicht korrekt instanziiert. Gutscheindaten müssen durch den Konstruktor aufgerufen werden."
"Quantity of certificates to create","Anzahl der Gutscheinen, die erstellt werden"
"Recipient Info","Empfänger Informationen"
"Recipient's Email Address (optional):","Empfänger Email-Adresse (Optional):"
"Recipient's email address","Empfänger Email-Adresse"
"Recipient's name","Empfänger Name"
"Recipient's Name:","Empfänger Name:"
"Recipient's Postal Address (optional):","Empfänger Post-Adresse (Optional):"
"Recipient's postal address","Empfänger Post-Adresse"
"Refund","Erstattung"
"Regular","Normal"
"Remove","Entfernen"
"Requested a printed copy","Gedruckte Kopie angefordert"
"Reset","Zurücksetzen"
"Retrieve certificates","Zertifikate abrufen"
"Retrieve gift certificates by code","Zertifikate über den Code abrufen"
"Save and Continue Edit","Speichern und weiterarbeiten"
"Save and Import","Speichern und importieren"
"Save and Send Gift Certificate","Speichern und versenden"
"Save Gift Certificate","Gutschein speichern"
"Save PDF Settings","PDF Einstellungen speichern"
"Save Settings","Einstellungen speichern"
"Select Amount","Betrag auswählen"
"Send emails","Emails versenden"
"Send new GC confirmation","Neue GC Bestätigung versenden"
"Send printed copy to myself","Eine gedruckte Kopie an mich senden"
"Send this gift certificate(s)","Diesen Gutschein senden an"
"Sender name","Absender"
"Settings Units","Maßeinheit"
"Shipping & Handling (Excl.Tax)","Versandkosten (Exkl.Mwst)"
"Shipping & Handling (Incl.Tax)","Versandkosten (Inkl.Mwst)"
"Status","Status"
"Store View","Store View"
"Subscribe for extension update notifications","Update-Mitteilungen anzeigen"
"Subtotal (Excl.Tax)","Zwischensumme (Exkl.Mwst.)"
"Subtotal (Incl.Tax)","Zwischensumme (Inkl.Mwst.)"
"Template","Template"
"Text Settings","Text Einstellungen"
"The card number entered is invalid. Please retry","Die angegebene Karten-Nummer ist ungültig. Bitte nochmal versuchen"
"The card number or PIN entered are invalid. Please retry","Die eingegeben Gutschein-Nummer oder der PIN ist ungültig. Bitte nochmal versuchen."
"The configuration has been saved.","Die Einstellungen wurden gespeichert."
"There was an error while updating certificate(s) status","Der Status der Gustscheine konnte wegen einem Fehler nicht aktualisiert werden."
"This order will be fully paid by the gift certificate(s)","Diese Bestellung wir vollständig mit Gutschein(en) bezahlt"
"Times New Roman","Times New Roman"
"Timestamp","Timestamp"
"Title","Titel"
"To check the balance of a Gift Card, enter the card number and PIN below.","Um das Guthaben eines Gutscheins zu überprüfen, bitte unten die Karten-Nummer und den PIN eintragen."
"To check the balance of a Gift Card, enter the card number below.","Um das Guthaben eines Gutscheins zu überprüfen, bitte unten die Karten-Nummer eintragen."
"To myself","An mich"
"Total of %d gift certificates(s) and %d emails were successfully sent","Alle %d Gutscheine und %d Emails wurden erfolgreich versendet"
"Total of %d record(s) were successfully deleted","Insgesamt wurden %d Einträge erfolgreich gelöscht."
"Total of %d record(s) were successfully updated","Insgesamt wurden %d Einträge erfolgreich aktualisiert."
"Transaction History","Transaktionsverlauf"
"Unable to proceed, please return to shopping cart to see the changes.","Konnte nicht verarbeitet werden, zurück zum Warenkorb um Änderungen zu überprüfen."
"Update Comments","Kommentar zu Änderung"
"Update gift certificate data","Gutschein Daten aktualisieren"
"Update gift certificates","Gutschein Daten aktualisieren"
"Update","Aktualisieren"
"Updates and New certificates","Aktualisierte und neue Gutscheine"
"Updates","Aktualisierungen"
"Uploaded files","Hochgeladene Dateien"
"Use <b>strftime()</b> format","Verwende <b>strftime()</b> Format"
"Use certificate conditions","Verwende Gutschein Regeln"
"Use default settings","Verwende Standard-Einstellungen"
"Use PIN","Verwende PIN"
"Use Website","Verwende Website"
"Used only for frontend orders.","Wird nur für Bestellungen im Frontend verwendet."
"Username","Benutzername"
"Using standard fonts will yield much smaller file size","Verwendung von Standard-Fonts erzeugen viel kleinere Dateigrößen"
"When importing allow only:","Importierung anwenden auf:"
"Width","Breite"
"Will be included only when default expiration timespan is set.","Wird nur eingefügt, wenn ein Standard-Verfallszeitraum angegeben ist."
"X position","X position"
"XML","XML"
"Y position","Y position"
"Yes","Ja"
"You can use custom templates for all fields. Free text fields will be rendered literally.<br/>For certificate properties fields, you can use <a href='http://php.net/sprintf'>sprintf()</a> formatted template, field value will be the only passed argument.",
"You will be redirected to Paypal in a few seconds.","Sie werden in ein paar Sekunden zu Paypal weitergeleitet."
"Your Gift Card Balance","Ihr Gutschein Guthaben"